check,variable,coef,se,pvalue,n,r2
Cohort_3-year,age,-0.88047,0.67714,0.1938,1033,0.1954
Cohort_3-year,tr20_level,1.4454,0.43431,0.00091,1033,0.1954
Cohort_3-year,tr20_change,-12.1418,39.13077,0.75641,1033,0.1954
Cohort_5-year (baseline),age,-0.32915,0.44167,0.4563,1033,0.1919
Cohort_5-year (baseline),tr20_level,1.41129,0.4333,0.00116,1033,0.1919
Cohort_5-year (baseline),tr20_change,-17.58212,38.99363,0.65216,1033,0.1919
Cohort_10-year,age,-0.46584,0.22474,0.03844,1033,0.1916
Cohort_10-year,tr20_level,1.40877,0.43169,0.00114,1033,0.1916
Cohort_10-year,tr20_change,-16.06803,38.69682,0.67806,1033,0.1916
Item_compound_interest,age,-0.94485,0.95247,0.32143,1033,0.1256
Item_compound_interest,tr20_level,1.69422,0.93441,0.07011,1033,0.1256
Item_compound_interest,tr20_change,-27.51351,84.08946,0.74359,1033,0.1256
Item_inflation,age,0.68085,0.83469,0.41487,1033,0.0684
Item_inflation,tr20_level,1.4427,0.81886,0.0784,1033,0.0684
Item_inflation,tr20_change,-104.15905,73.69089,0.15783,1033,0.0684
Item_stock_vs_mutualfund,age,-1.40463,1.00396,0.16209,1033,0.109
Item_stock_vs_mutualfund,tr20_level,1.72981,0.98493,0.07934,1033,0.109
Item_stock_vs_mutualfund,tr20_change,-59.38749,88.63515,0.503,1033,0.109
Item_highest_returns,age,-0.24848,1.01371,0.80641,1033,0.1325
Item_highest_returns,tr20_level,3.01987,0.9945,0.00245,1033,0.1325
Item_highest_returns,tr20_change,81.02898,89.4965,0.36548,1033,0.1325
Item_company_stock,age,-0.00329,1.02117,0.99743,1033,0.0506
Item_company_stock,tr20_level,2.5453,1.00181,0.01121,1033,0.0506
Item_company_stock,tr20_change,81.58281,90.15487,0.36572,1033,0.0506
Item_foreign_stocks,age,-0.47037,1.07648,0.66224,1033,0.0165
Item_foreign_stocks,tr20_level,-0.50125,1.05607,0.63515,1033,0.0165
Item_foreign_stocks,tr20_change,-17.30841,95.03783,0.85552,1033,0.0165
Item_bond_interest,age,0.08672,1.07561,0.93576,1033,0.0281
Item_bond_interest,tr20_level,-0.05165,1.05522,0.96097,1033,0.0281
Item_bond_interest,tr20_change,-77.3182,94.96126,0.41572,1033,0.0281
Sub_Males_only,age,-0.21295,0.59037,0.7185,458,0.2079
Sub_Males_only,tr20_level,0.89051,0.62978,0.15807,458,0.2079
Sub_Males_only,tr20_change,-33.45419,55.11618,0.54418,458,0.2079
Sub_Females_only,age,-0.34432,0.65072,0.59692,575,0.1679
Sub_Females_only,tr20_level,1.68291,0.60132,0.00531,575,0.1679
Sub_Females_only,tr20_change,-7.10661,55.88781,0.89886,575,0.1679
Sub_College_plus,age,1.57039,0.91625,0.08804,226,0.182
Sub_College_plus,tr20_level,-0.04437,1.01535,0.96518,226,0.182
Sub_College_plus,tr20_change,-115.24584,90.31566,0.20338,226,0.182
Sub_No_college,age,-0.77403,0.50448,0.12535,807,0.1644
Sub_No_college,tr20_level,1.62498,0.48052,0.00076,807,0.1644
Sub_No_college,tr20_change,13.26658,44.18373,0.76406,807,0.1644
Sub_Stock_owners,age,0.91773,0.81947,0.26383,273,0.1814
Sub_Stock_owners,tr20_level,0.89089,0.81354,0.27453,273,0.1814
Sub_Stock_owners,tr20_change,39.08414,80.24392,0.62664,273,0.1814
Sub_Non_stock_owners,age,-0.83746,0.52862,0.11356,760,0.1619
Sub_Non_stock_owners,tr20_level,1.72034,0.51987,0.00098,760,0.1619
Sub_Non_stock_owners,tr20_change,-23.23595,45.99253,0.61356,760,0.1619
MinWaves_3,age,-0.32915,0.44167,0.4563,1033,0.1919
MinWaves_3,tr20_level,1.41129,0.4333,0.00116,1033,0.1919
MinWaves_3,tr20_change,-17.58212,38.99363,0.65216,1033,0.1919
MinWaves_4,age,-0.23338,0.47698,0.62476,929,0.1826
MinWaves_4,tr20_level,1.35541,0.47432,0.00437,929,0.1826
MinWaves_4,tr20_change,-5.97405,27.60347,0.82871,929,0.1826
MinWaves_5,age,-0.19498,0.48482,0.68766,901,0.1826
MinWaves_5,tr20_level,1.26925,0.48142,0.00852,901,0.1826
MinWaves_5,tr20_change,-8.93728,26.18742,0.73297,901,0.1826
MinWaves_6,age,-0.12851,0.50399,0.7988,844,0.1876
MinWaves_6,tr20_level,1.32102,0.49843,0.00819,844,0.1876
MinWaves_6,tr20_change,-2.66997,25.96106,0.91811,844,0.1876
Interaction_tr20_x_male,tr20_level,1.63542,0.50644,0.00128,1033,0.1925
Interaction_tr20_x_male,tr20_x_male,-0.58246,0.68103,0.39261,1033,0.1925
Interaction_tr20_x_college,tr20_level,1.5041,0.46469,0.00125,1033,0.1922
Interaction_tr20_x_college,tr20_x_college,-0.50721,0.91526,0.57959,1033,0.1922
Interaction_tr20_x_stock,tr20_level,1.73866,0.4882,0.00039,1033,0.1936
Interaction_tr20_x_stock,tr20_x_stock,-1.15524,0.79531,0.14666,1033,0.1936
Within_person_Big3,tr20_level,-0.11583,0.05912,0.05266,121,0.1486
Within_person_Big3,tr20_change,-11.25398,5.49224,0.0429,121,0.1486
